Zone Timestep,Environment:Site Outdoor Air Drybulb Temperature[C]
2006-Jan-01 00:10:00,19.0
2006-Jan-01 00:20:00,18.9
2006-Jan-01 00:30:00,18.8
2006-Jan-01 00:40:00,18.8
2006-Jan-01 00:50:00,19.2
2006-Jan-01 01:00:00,19.2
2006-Jan-01 01:10:00,19.2
2006-Jan-01 01:20:00,19.2
2006-Jan-01 01:30:00,18.3
2006-Jan-01 01:40:00,17.8
2006-Jan-01 01:50:00,17.8
2006-Jan-01 02:00:00,18.0
2006-Jan-01 02:10:00,18.2
2006-Jan-01 02:20:00,18.0
2006-Jan-01 02:30:00,17.7
2006-Jan-01 02:40:00,17.6
2006-Jan-01 02:50:00,17.2
2006-Jan-01 03:00:00,17.2
2006-Jan-01 03:10:00,17.2
2006-Jan-01 03:20:00,17.5
2006-Jan-01 03:30:00,17.4
2006-Jan-01 03:40:00,17.5
2006-Jan-01 03:50:00,17.0
2006-Jan-01 04:00:00,16.6
2006-Jan-01 04:10:00,16.4
2006-Jan-01 04:20:00,16.4
2006-Jan-01 04:30:00,16.1
2006-Jan-01 04:40:00,15.9
2006-Jan-01 04:50:00,16.0
2006-Jan-01 05:00:00,16.3
2006-Jan-01 05:10:00,16.2
2006-Jan-01 05:20:00,16.6
2006-Jan-01 05:30:00,15.9
2006-Jan-01 05:40:00,16.6
2006-Jan-01 05:50:00,17.1
2006-Jan-01 06:00:00,16.4
2006-Jan-01 06:10:00,17.3
2006-Jan-01 06:20:00,16.7
2006-Jan-01 06:30:00,17.2
2006-Jan-01 06:40:00,16.3
2006-Jan-01 06:50:00,15.3
2006-Jan-01 07:00:00,15.1
2006-Jan-01 07:10:00,15.2
2006-Jan-01 07:20:00,15.4
2006-Jan-01 07:30:00,16.0
2006-Jan-01 07:40:00,15.6
2006-Jan-01 07:50:00,16.4
2006-Jan-01 08:00:00,16.3
2006-Jan-01 08:10:00,17.3
2006-Jan-01 08:20:00,17.4
2006-Jan-01 08:30:00,17.7
2006-Jan-01 08:40:00,18.4
2006-Jan-01 08:50:00,19.5
2006-Jan-01 09:00:00,19.9
2006-Jan-01 09:10:00,19.6
2006-Jan-01 09:20:00,20.3
2006-Jan-01 09:30:00,20.2
2006-Jan-01 09:40:00,20.4
2006-Jan-01 09:50:00,20.5
2006-Jan-01 10:00:00,20.9
2006-Jan-01 10:10:00,20.9
2006-Jan-01 10:20:00,21.0
2006-Jan-01 10:30:00,20.9
2006-Jan-01 10:40:00,21.1
2006-Jan-01 10:50:00,21.2
2006-Jan-01 11:00:00,21.5
2006-Jan-01 11:10:00,22.3
2006-Jan-01 11:20:00,22.6
2006-Jan-01 11:30:00,22.3
2006-Jan-01 11:40:00,23.1
2006-Jan-01 11:50:00,23.0
2006-Jan-01 12:00:00,23.4
2006-Jan-01 12:10:00,24.1
2006-Jan-01 12:20:00,24.1
2006-Jan-01 12:30:00,24.0
2006-Jan-01 12:40:00,24.4
2006-Jan-01 12:50:00,25.0
2006-Jan-01 13:00:00,25.2
2006-Jan-01 13:10:00,25.0
2006-Jan-01 13:20:00,25.6
2006-Jan-01 13:30:00,25.3
2006-Jan-01 13:40:00,25.6
2006-Jan-01 13:50:00,25.5
2006-Jan-01 14:00:00,26.7
2006-Jan-01 14:10:00,25.6
2006-Jan-01 14:20:00,26.2
2006-Jan-01 14:30:00,26.3
2006-Jan-01 14:40:00,26.1
2006-Jan-01 14:50:00,27.2
2006-Jan-01 15:00:00,26.7
2006-Jan-01 15:10:00,26.5
2006-Jan-01 15:20:00,26.6
2006-Jan-01 15:30:00,26.8
2006-Jan-01 15:40:00,26.4
2006-Jan-01 15:50:00,27.4
2006-Jan-01 16:00:00,27.0
2006-Jan-01 16:10:00,27.2
2006-Jan-01 16:20:00,26.6
2006-Jan-01 16:30:00,26.8
2006-Jan-01 16:40:00,27.1
2006-Jan-01 16:50:00,26.3
2006-Jan-01 17:00:00,26.3
2006-Jan-01 17:10:00,26.1
2006-Jan-01 17:20:00,26.0
2006-Jan-01 17:30:00,25.7
2006-Jan-01 17:40:00,25.4
2006-Jan-01 17:50:00,25.2
2006-Jan-01 18:00:00,24.9
2006-Jan-01 18:10:00,24.6
2006-Jan-01 18:20:00,24.1
2006-Jan-01 18:30:00,23.6
2006-Jan-01 18:40:00,22.9
2006-Jan-01 18:50:00,22.4
2006-Jan-01 19:00:00,21.9
2006-Jan-01 19:10:00,21.7
2006-Jan-01 19:20:00,21.4
2006-Jan-01 19:30:00,21.3
2006-Jan-01 19:40:00,21.2
2006-Jan-01 19:50:00,21.3
2006-Jan-01 20:00:00,21.5
2006-Jan-01 20:10:00,22.0
2006-Jan-01 20:20:00,22.0
2006-Jan-01 20:30:00,22.2
2006-Jan-01 20:40:00,22.5
2006-Jan-01 20:50:00,22.4
2006-Jan-01 21:00:00,22.7
2006-Jan-01 21:10:00,22.6
2006-Jan-01 21:20:00,22.8
2006-Jan-01 21:30:00,23.0
2006-Jan-01 21:40:00,23.0
2006-Jan-01 21:50:00,22.8
2006-Jan-01 22:00:00,22.9
2006-Jan-01 22:10:00,22.2
2006-Jan-01 22:20:00,21.6
2006-Jan-01 22:30:00,21.6
2006-Jan-01 22:40:00,21.2
2006-Jan-01 22:50:00,20.7
2006-Jan-01 23:00:00,20.6
2006-Jan-01 23:10:00,20.0
2006-Jan-01 23:20:00,19.8
2006-Jan-01 23:30:00,19.7
2006-Jan-01 23:40:00,19.6
2006-Jan-01 23:50:00,19.5
2006-Jan-02 00:00:00,19.6
2006-Jan-02 00:10:00,19.5
2006-Jan-02 00:20:00,19.6
2006-Jan-02 00:30:00,19.4
2006-Jan-02 00:40:00,19.3
2006-Jan-02 00:50:00,19.2
2006-Jan-02 01:00:00,19.1
2006-Jan-02 01:10:00,18.8
2006-Jan-02 01:20:00,18.9
2006-Jan-02 01:30:00,18.7
2006-Jan-02 01:40:00,18.6
2006-Jan-02 01:50:00,18.6
2006-Jan-02 02:00:00,18.5
2006-Jan-02 02:10:00,18.2
2006-Jan-02 02:20:00,18.1
2006-Jan-02 02:30:00,17.8
2006-Jan-02 02:40:00,17.7
2006-Jan-02 02:50:00,17.8
2006-Jan-02 03:00:00,17.5
2006-Jan-02 03:10:00,17.2
2006-Jan-02 03:20:00,17.0
2006-Jan-02 03:30:00,17.0
2006-Jan-02 03:40:00,17.0
2006-Jan-02 03:50:00,16.9
2006-Jan-02 04:00:00,16.9
2006-Jan-02 04:10:00,17.0
2006-Jan-02 04:20:00,16.7
2006-Jan-02 04:30:00,16.5
2006-Jan-02 04:40:00,16.1
2006-Jan-02 04:50:00,16.2
2006-Jan-02 05:00:00,16.3
2006-Jan-02 05:10:00,16.3
2006-Jan-02 05:20:00,16.2
2006-Jan-02 05:30:00,16.0
