time,Ib,Ig,To,RH,WS,WD,P
2018-01-01 00:00:00,,,18.7,36.34,1.422,316.0,87864.11
2018-01-01 00:10:00,0.002,0.0,18.95,35.29,1.008,283.7,87876.37
2018-01-01 00:20:00,0.17,0.0,18.94,35.43,1.565,326.0,87888.64
2018-01-01 00:30:00,0.371,0.0,18.77,35.89,2.175,354.5,87887.21
2018-01-01 00:40:00,0.305,0.0,18.81,36.34,1.902,348.0,87886.90999999999
2018-01-01 00:50:00,0.031,0.0,19.23,35.4,1.468,6.668,87889.36
2018-01-01 01:00:00,0.034,0.0,19.23,35.67,1.368,11.67,87894.78
2018-01-01 01:10:00,0.178,0.0,19.25,35.6,1.122,3.498,87899.54
2018-01-01 01:20:00,0.001,0.0,19.21,35.97,0.332,64.51,87896.81999999999
2018-01-01 01:30:00,0.0,0.0,18.32,42.31,1.428,132.2,87893.40999999999
2018-01-01 01:40:00,0.0,0.0,17.82,44.35,0.643,66.8,87898.19
2018-01-01 01:50:00,0.0,0.0,17.82,43.65,1.49,25.0,87892.06000000001
2018-01-01 02:00:00,0.0,0.0,18.03,41.42,1.673,12.17,87884.6
2018-01-01 02:10:00,0.077,0.0,18.24,40.37,1.988,357.7,87882.70999999999
2018-01-01 02:20:00,0.009,0.0,18.0,40.83,2.817,349.3,87896.39
2018-01-01 02:30:00,0.0,0.0,17.68,41.77,2.938,348.0,87886.89
2018-01-01 02:40:00,0.045,0.0,17.64,41.97,3.003,346.5,87870.92
2018-01-01 02:50:00,0.0,0.0,17.25,43.68,2.845,349.0,87880.68
2018-01-01 03:00:00,0.0,0.0,17.23,43.72,2.87,350.0,87884.75
2018-01-01 03:10:00,0.019,0.0,17.21,43.82,1.46,54.11,87882.81
2018-01-01 03:20:00,0.108,0.0,17.49,42.67,1.498,339.2,87880.78
2018-01-01 03:30:00,0.072,0.0,17.41,42.29,2.283,341.3,87895.09000000001
2018-01-01 03:40:00,0.003,0.0,17.47,41.72,2.05,324.5,87886.55
2018-01-01 03:50:00,0.238,0.0,17.04,43.15,2.83,343.2,87882.2
2018-01-01 04:00:00,0.0,0.0,16.58,44.2,3.183,343.3,87894.42000000001
2018-01-01 04:10:00,0.0,0.0,16.39,44.4,3.777,340.0,87882.79
2018-01-01 04:20:00,0.0,0.0,16.37,43.51,3.3,344.3,87896.22
2018-01-01 04:30:00,0.112,0.0,16.14,44.81,1.562,355.5,87919.95
2018-01-01 04:40:00,0.0,0.0,15.88,45.71,2.423,344.3,87904.42
2018-01-01 04:50:00,0.02,0.0,15.98,44.82,2.227,342.8,87929.39
2018-01-01 05:00:00,0.007,0.0,16.29,43.71,1.263,328.5,87934.23
2018-01-01 05:10:00,0.008,0.0,16.21,43.61,1.308,317.3,87929.47
2018-01-01 05:20:00,0.24,0.0,16.6,41.78,1.42,341.5,87947.19
2018-01-01 05:30:00,0.054,0.0,15.93,44.58,1.457,324.8,87928.78
2018-01-01 05:40:00,0.0,0.0,16.64,41.69,1.317,30.55,87936.28
2018-01-01 05:50:00,0.155,0.0,17.1,40.28,2.227,32.67,87945.82
2018-01-01 06:00:00,0.247,0.0,16.4,42.28,1.97,5.5,87945.14
2018-01-01 06:10:00,0.092,0.0,17.3,38.95,2.278,345.5,87981.25
2018-01-01 06:20:00,0.137,0.0,16.74,40.92,3.127,344.7,87978.52
2018-01-01 06:30:00,0.127,0.0,17.24,39.52,2.26,334.7,87996.92
2018-01-01 06:40:00,0.073,0.0,16.31,43.16,2.462,340.0,88009.18
2018-01-01 06:50:00,0.0,0.0,15.34,46.22,1.763,337.5,88001.68000000001
2018-01-01 07:00:00,0.002,0.0,15.08,47.51,1.215,337.1,88025.53000000001
2018-01-01 07:10:00,0.0,0.004,15.21,47.09,1.512,343.0,88024.85
2018-01-01 07:20:00,0.005,2.993,15.39,45.76,1.527,300.3,88050.05
2018-01-01 07:30:00,17.81,13.14,16.02,43.87,1.043,324.9,88069.82
2018-01-01 07:40:00,84.2,32.14,15.58,45.21,1.432,352.1,88067.77
2018-01-01 07:50:00,143.3,54.13,16.41,42.04,1.078,351.1,88090.94
2018-01-01 08:00:00,200.3,79.37,16.27,42.56,2.103,5.833,88089.58
