time,Ig
2018-01-01 00:10:00,0.0
2018-01-01 00:20:00,0.0
2018-01-01 00:30:00,0.0
2018-01-01 00:40:00,0.0
2018-01-01 00:50:00,0.0
2018-01-01 01:00:00,0.0
2018-01-01 01:10:00,0.0
2018-01-01 01:20:00,0.0
2018-01-01 01:30:00,0.0
2018-01-01 01:40:00,0.0
2018-01-01 01:50:00,0.0
2018-01-01 02:00:00,0.0
2018-01-01 02:10:00,0.0
2018-01-01 02:20:00,0.0
2018-01-01 02:30:00,0.0
2018-01-01 02:40:00,0.0
2018-01-01 02:50:00,0.0
2018-01-01 03:00:00,0.0
2018-01-01 03:10:00,0.0
2018-01-01 03:20:00,0.0
2018-01-01 03:30:00,0.0
2018-01-01 03:40:00,0.0
2018-01-01 03:50:00,0.0
2018-01-01 04:00:00,0.0
2018-01-01 04:10:00,0.0
2018-01-01 04:20:00,0.0
2018-01-01 04:30:00,0.0
2018-01-01 04:40:00,0.0
2018-01-01 04:50:00,0.0
2018-01-01 05:00:00,0.0
2018-01-01 05:10:00,0.0
2018-01-01 05:20:00,0.0
2018-01-01 05:30:00,0.0
2018-01-01 05:40:00,0.0
2018-01-01 05:50:00,0.0
2018-01-01 06:00:00,0.0
2018-01-01 06:10:00,0.0
2018-01-01 06:20:00,0.0
2018-01-01 06:30:00,0.0
2018-01-01 06:40:00,0.0
2018-01-01 06:50:00,0.0
2018-01-01 07:00:00,0.0
2018-01-01 07:10:00,0.004
2018-01-01 07:20:00,2.993
2018-01-01 07:30:00,13.14
2018-01-01 07:40:00,32.14
2018-01-01 07:50:00,54.13
2018-01-01 08:00:00,79.37
2018-01-01 08:10:00,108.3
2018-01-01 08:20:00,141.4
2018-01-01 08:30:00,176.0
2018-01-01 08:40:00,212.4
2018-01-01 08:50:00,243.5
2018-01-01 09:00:00,278.3
2018-01-01 09:10:00,315.4
2018-01-01 09:20:00,349.5
2018-01-01 09:30:00,379.8
2018-01-01 09:40:00,410.6
2018-01-01 09:50:00,445.6
2018-01-01 10:00:00,478.3
2018-01-01 10:10:00,510.6
2018-01-01 10:20:00,539.4
2018-01-01 10:30:00,567.1
2018-01-01 10:40:00,589.5
2018-01-01 10:50:00,610.5
2018-01-01 11:00:00,633.5
2018-01-01 11:10:00,654.5
2018-01-01 11:20:00,667.4
2018-01-01 11:30:00,685.3
2018-01-01 11:40:00,701.7
2018-01-01 11:50:00,711.2
2018-01-01 12:00:00,721.1
2018-01-01 12:10:00,727.2
2018-01-01 12:20:00,733.3
2018-01-01 12:30:00,737.9
2018-01-01 12:40:00,737.6
2018-01-01 12:50:00,743.9
2018-01-01 13:00:00,753.0
2018-01-01 13:10:00,748.0
2018-01-01 13:20:00,731.0
2018-01-01 13:30:00,720.2
2018-01-01 13:40:00,713.3
2018-01-01 13:50:00,707.5
2018-01-01 14:00:00,689.3
2018-01-01 14:10:00,652.9
2018-01-01 14:20:00,658.6
2018-01-01 14:30:00,644.2
2018-01-01 14:40:00,611.9
2018-01-01 14:50:00,582.1
2018-01-01 15:00:00,566.9
2018-01-01 15:10:00,498.2
2018-01-01 15:20:00,460.7
2018-01-01 15:30:00,432.6
2018-01-01 15:40:00,405.5
2018-01-01 15:50:00,385.9
2018-01-01 16:00:00,360.8
2018-01-01 16:10:00,340.3
2018-01-01 16:20:00,301.2
2018-01-01 16:30:00,260.3
2018-01-01 16:40:00,232.8
2018-01-01 16:50:00,193.3
2018-01-01 17:00:00,158.8
2018-01-01 17:10:00,129.7
2018-01-01 17:20:00,98.8
2018-01-01 17:30:00,58.63
2018-01-01 17:40:00,30.77
2018-01-01 17:50:00,19.33
2018-01-01 18:00:00,11.88
2018-01-01 18:10:00,4.959
2018-01-01 18:20:00,0.214
2018-01-01 18:30:00,0.0
2018-01-01 18:40:00,0.0
2018-01-01 18:50:00,0.0
2018-01-01 19:00:00,0.0
2018-01-01 19:10:00,0.0
2018-01-01 19:20:00,0.0
2018-01-01 19:30:00,0.0
2018-01-01 19:40:00,0.0
2018-01-01 19:50:00,0.0
2018-01-01 20:00:00,0.0
2018-01-01 20:10:00,0.0
2018-01-01 20:20:00,0.0
2018-01-01 20:30:00,0.0
2018-01-01 20:40:00,0.0
2018-01-01 20:50:00,0.0
2018-01-01 21:00:00,0.0
2018-01-01 21:10:00,0.0
2018-01-01 21:20:00,0.0
